kecamatan,nama_taman,luas,type
MANDALAJATI,TAMAN EKS TPA CICABE,41803.57,city_park
MANDALAJATI,TAMAN TERASERING BLOK ID,1913,city_park
MANDALAJATI,TAMAN SISI KANAN-KIRI SALURAN INDUK,798,city_park
MANDALAJATI,JALUR HIJAU SEBELAH SELATAN LAPANGAN TENIS,600,city_park
MANDALAJATI,TAMAN TERASERING BLOK II,444,city_park
MANDALAJATI,TAMAN MEDIAN JALAN,400,city_park
MANDALAJATI,JALUR HIJAU BLOK XI,362,city_park
MANDALAJATI,JALUR HIJAU BLOK XIV,350,city_park
MANDALAJATI,JALUR HIJAU BLOK XV,274,city_park
MANDALAJATI,TAMAN MEDIAN BLOK II,212,city_park
MANDALAJATI,TAMAN MEDIAN BLOK I A,171,city_park
MANDALAJATI,TAMAN MEDIAN DEPAN RUKO,150,city_park
MANDALAJATI,TAMAN RW DEPAN KANTOR,150,city_park
MANDALAJATI,TAMAN MEDIAN BLOK VIII,141,city_park
MANDALAJATI,TAMAN MEDIAN BLOK I,79,city_park
MANDALAJATI,TAMAN MEDIAN BLOK III,79,city_park
