nama,alamat,kecamatan,type,Jumlah Penduduk,Luas Wilayah,Kepadatan Jiwa
BEST CARE,JL. KEMUNING NO. 23,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
THE HALLWAY,KEBON PISANG SUMUR BANDUNG,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
TAMIM 27,JL. TAMIM NO. 27,Andir,tourism_shopping,99119.0,4.22,23487.91
TOKO GONZO,JL. SETRAINDAH BARAT NO. 2,Sukasari,tourism_shopping,77576.0,6.36,12197.48
CHIODA SPORTS MARKET,JL. KEJAKSAAN NO. 19,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
D'FASHION TEXTILE & TAILOR,JL. VETEREAN NO. 41,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
DBL STORE BANDUNG,JL. CIHAMPELAS NO. 248,Coblong,tourism_shopping,115273.0,7.31,15769.22
MONALIZA,JL. L. L. R. E. MARTADINATA NO. 170,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
LAVIE BABY HOURSE,JL. IMAM BONJOL NO. 6,Coblong,tourism_shopping,115273.0,7.31,15769.22
CAHAYA SPORT,JL. JENDERAL AHMAD YANI NO. 262,Batununggal,tourism_shopping,121469.0,4.82,25201.04
ELIZABETH CIATEUL,JL. IBU INGGIT GARNASIH NO. 15,Astanaanyar,tourism_shopping,73232.0,2.68,27325.37
VILOUR PROMO INDONESIA,JL. DIPATI UKUR NO. 76A,Coblong,tourism_shopping,115273.0,7.31,15769.22
RABBANI KOPO,JL. RAYA KOPO NO. 632,Babakan Ciparay,tourism_shopping,143651.0,7.07,20318.39
SCREAMOUS SHOPHOUSE,JL. GEUSAN ULUN NO. 01,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
WORMHOLE STORE,JL. BAHUREKSA NO. 27,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
347 STORE,JL. TRUNOJOYO NO. 4,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
RANDOM APPAREL STORE,JL. WASTUKENCANA GG. NANGKASUNI NO. 1,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
HOUSE OF SMITH - BANDUNG SULTAN AGUNG,JL. SULTAN AGUNG NO. 27,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
INSURGENT CLUB'S FLAGSHIP STORE,JL. SULTAN AGUNG NO. 27,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
BLJK BLACKJACK STORE,JL. TRUNOJOYO NO. 28,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
GEOFF MAX FOOTWEAR,JL. TRUNOJOYO NO. 15,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
BLOODS CONCEPT STORE,JL. SULTAN AGUNG,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
COSMIC CLOTHES,JL. SULTAN AGUNG NO. 7,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
PAPERSMOOTH,JL. SULTAN AGUNG,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
BLACK ID CLOTHING,JL. SULTAN AGUNG NO. 3C,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
KICK DENIM,JL. SULTAN AGUNG NO.3C,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
EVIL ARMY,JL. SULTAN AGUNG NO. 5,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
POPCULINE,JL. TRUNOJOYO NO. 6,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
FLASHY,JL. DIPATI UKUR NO. 1,Coblong,tourism_shopping,115273.0,7.31,15769.22
MISCHIEF DENIM STUDIO,JL. L. L. R. E. MARTADINATA NO.70,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
UNITED HART FLAGSHIP STORE,JL. SULTAN TIRTAYASA NO. 30,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
HRCN,JL. SULTAN AGUNG NO. 7,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
NORDHENBASIC,JL. BAHUREKSA NO. 20,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
VISVAL STORE,JL. BANDA NO. 25,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
MATERNAL DISASTER STORE,JL. WIRA ANGUN NO.4B,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
ROUGHNECK 1991 STORE BANDUNG,JL. BAHUREKSA NO. 5,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
RECLAYS OFFICIAL STORE,JL. TRUNOJOYO NO. 23,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
CHRONIC ROCK MERCH,JL. SAWAH KURUNG IV,Regol,tourism_shopping,80609.0,4.74,17006.12
VEARST STORE,JL. GUDANG SELATAN NO. 22B,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
NIION,JL. GUDANG SELATAN NO. 22,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
POT MEETS POP DENIM,JL. BAHUREKSA NO. 20,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
GREENLIGHT FAMO,JL. MARGONDA RAYA NO. 214,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
BLOODS MAINSTORE,JL. SULTAN AGUNG NO. 25,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
WADEZIG! OFFLINE STORE,JL. TRUNOJOYO NO. 4,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
PROSHOP ORIGINAL,JL. CIGURIANG NO. 9,Regol,tourism_shopping,80609.0,4.74,17006.12
BLACKID CARTEL,JL. SULTAN AGUNG NO. 3C,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
PETER SAYS DENIM,JL. CIUMBULEUIT NO. 109,Cidadap,tourism_shopping,54680.0,8.42,6494.06
GUMMO,JL. SULTAN AGUNG NO. 13,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
MAYOUTFIT,JL. GEGERKALONG HILIR NO. 9,Sukajadi,tourism_shopping,103066.0,5.28,19520.08
MAYOUTFIT BUAH BATU,JL. BUAH ATU NO. 222C,Lengkong,tourism_shopping,71000.0,5.91,12013.54
SHOPATALEEN,JL. GEGERKALONG HILIR NO.9B,Sukajadi,tourism_shopping,103066.0,5.28,19520.08
BERAK9420,JL. TERUSAN PERINTIS NO. 92,Sukajadi,tourism_shopping,103066.0,5.28,19520.08
FLAVA,JL. CIHAMPELAS NO. 177,Coblong,tourism_shopping,115273.0,7.31,15769.22
BRODO FOOTWEAR,JL. LOMBOK NO. 11,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
SAVE MY MONDAY,JL. GUDANG SELATAN NO. 22B,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
DEUS EX MACHINA,JL. GUDANG SELATAN NO. 22,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
MOMS TO BE,JL. SOKA NO. 12,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
CARVIENO,JL. SOKA NO. 22-24,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
