kecamatan,nama_taman,luas
LENGKONG,TAMAN KLININGAN,1640
LENGKONG,TAMAN DURMA,1581
LENGKONG,TAMAN LAPANGAN TERONG,1350
LENGKONG,TAMAN PUTRI,960
LENGKONG,TAMAN BURANGRANG/WAYANG,841
LENGKONG,TAMAN KARAPITAN UNLA,767.2
LENGKONG,TAMAN TANK BAJA GATOT SUBROTO,722
LENGKONG,LAPANGAN IMPUN,633.5
LENGKONG,TAMAN PALASARI/LODAYA I,590.5
LENGKONG,BAK BUNGA CEREMAI,441
LENGKONG,TAMAN TAWES,418.7
LENGKONG,TAMAN PALASARI/LODAYA II,418
LENGKONG,TAMAN TURANGGA,328
LENGKONG,TAMAN DELEG,312.5
LENGKONG,TAMAN GALUNGGUNG,288
LENGKONG,TAMAN BURANGRANG/EMONG,280.6
LENGKONG,TAMAN WINDU,264
LENGKONG,TAMAN TUGU SIMPANG LIMA,239.62
LENGKONG,TAMAN LAUK EMAS,232
LENGKONG,JALUR HIJAU SADAKELING,226.5
LENGKONG,TAMAN TAMPOMAS,210
LENGKONG,TAMAN PALASARI / BANTENG I,209.3
LENGKONG,PULAU JALAN BUAH BATU/BKR,198
LENGKONG,TAMAN GURAME,197.5
LENGKONG,PULAU JALAN MARTANEGARA/PELAJAR PEJUANG,128.4
LENGKONG,TAMAN PULAU JALAN CIKAWAO/LENGKONG,60
LENGKONG,TAMAN PALASARI / BANTENG II,57.2
MANDALAJATI,TAMAN EKS TPA PASIR IMPUN,44600
MANDALAJATI,TAMAN EKS TPA CICABE,41803.57
MANDALAJATI,TAMAN TERASERING BLOK ID,1913
MANDALAJATI,TAMAN SISI KANAN-KIRI SALURAN INDUK,798
MANDALAJATI,JALUR HIJAU SEBELAH SELATAN LAPANGAN TENIS,600
MANDALAJATI,TAMAN TERASERING BLOK II,444
MANDALAJATI,TAMAN MEDIAN JALAN,400
MANDALAJATI,JALUR HIJAU BLOK XI,362
MANDALAJATI,JALUR HIJAU BLOK XIV,350
MANDALAJATI,JALUR HIJAU BLOK XV,274
MANDALAJATI,TAMAN MEDIAN BLOK II,212
MANDALAJATI,TAMAN MEDIAN BLOK I A,171
MANDALAJATI,TAMAN MEDIAN DEPAN RUKO,150
MANDALAJATI,TAMAN RW DEPAN KANTOR,150
MANDALAJATI,TAMAN MEDIAN BLOK VIII,141
MANDALAJATI,TAMAN MEDIAN BLOK I,79
MANDALAJATI,TAMAN MEDIAN BLOK III,79
MANDALAJATI,TAMAN MEDIAN BLOK IX,30
MANDALAJATI,TAMAN MEDIAN BLOK VII,21
MANDALAJATI,TAMAN MEDIAN BLOK VI,20
MANDALAJATI,TAMAN MEDIAN BLOK V (BUNDERAN),5
PANYILEUKAN,JALUR HIJAU BLOK F,4005
PANYILEUKAN,JALUR HIJAU L-I 10,2387
PANYILEUKAN,JALUR HIJAU BLOK C,1840
PANYILEUKAN,JALUR HIJAU N-R,1309
PANYILEUKAN,TAMAN BLOK L,1214
PANYILEUKAN,TAMAN BLOK CITRA AB,1092.5
PANYILEUKAN,TAMAN LAPANGAN BLOK J,1056
PANYILEUKAN,TAMAN BLOK J,1005
PANYILEUKAN,TAMAN BLOK A1-I,965.6
PANYILEUKAN,JALUR HIJAU BLOK A I,943.8
PANYILEUKAN,TAMAN BLOK F,940.85
PANYILEUKAN,TAMAN LAPANGAN OLAHRAGA BLOK E,897
PANYILEUKAN,TAMAN BLOK P-I,784
PANYILEUKAN,TAMAN BLOK F-G,782
PANYILEUKAN,TAMAN BLOK H,675.95
PANYILEUKAN,TAMAN BLOK P-II,667
PANYILEUKAN,TAMAN CIJAMBE INDAH,659
PANYILEUKAN,JALUR HIJAU BLOK A II,608
PANYILEUKAN,TAMAN BLOK N,565.5
PANYILEUKAN,TAMAN LAPANGAN OLAHRAGA BLOK E,550
PANYILEUKAN,TAMAN BLOK K,540
PANYILEUKAN,TAMAN BLOK Q,515
PANYILEUKAN,TAMAN MEKAR RESIK,489
PANYILEUKAN,TAMAN PAMEKAR TIMUR,455
PANYILEUKAN,TAMAN MEKAR SUGIH,400
PANYILEUKAN,TAMAN BLOK G-II,393.24
PANYILEUKAN,TAMAN BLOK CITRA,392
PANYILEUKAN,TAMAN PAMEKAR,327
PANYILEUKAN,TAMAN BLOK N,322.5
PANYILEUKAN,TAMAN PAMEKAR BARAT,320
PANYILEUKAN,TAMAN BLOK F,240
PANYILEUKAN,TAMAN BLOK A1-II,225
PANYILEUKAN,TAMAN BLOK E-G (II),120
PANYILEUKAN,TAMAN BLOK C,105
PANYILEUKAN,TAMAN BLOK B,80
PANYILEUKAN,TAMAN BLOK E-G (I),76.5
PANYILEUKAN,TAMAN BLOK R-I,67.5
PANYILEUKAN,TAMAN BLOK G-I,44.77
PANYILEUKAN,TAMAN BLOK R-II,39
PANYILEUKAN,TAMAN BLOK A,36.75
PANYILEUKAN,TAMAN BLOK E,30
PANYILEUKAN,TAMAN PANYAWANGAN,26
PANYILEUKAN,TAMAN BLOK A,21.6
PANYILEUKAN,TAMAN LAPANGAN BLOK H,14
PANYILEUKAN,TAMAN PANYILEUKAN,-
PANYILEUKAN,TAMAN PANYILEUKAN 1,-
PANYILEUKAN,TAMAN PANYILEUKAN 2,-
PANYILEUKAN,TAMAN PANYILEUKAN 3,-
PANYILEUKAN,TAMAN PANYILEUKAN 4,-
PANYILEUKAN,TAMAN PANYILEUKAN 6,-
PANYILEUKAN,TAMAN PANYILEUKAN 7,-
PANYILEUKAN,TAMAN PANYILEUKAN 8,-
PANYILEUKAN,TAMAN PANYILEUKAN 9,-
RANCASARI,TAMAN METRO ESTATE A,3590
RANCASARI,TAMAN BLOK V2,2173
RANCASARI,TAMAN BLOK L2 I,1994
RANCASARI,TAMAN BLOK A2,1922
RANCASARI,TAMAN BLOK L2 A,1835
RANCASARI,TAMAN BLOK G2,1781
RANCASARI,TAMAN BLOK Q2 A,1106
